0.000000000000000000e+00 1.104484795840833914e-06 -1.983820858099941445e-06 2.912932151237300455e-06 -3.770859175991988664e-06 4.586910868634315137e-06 -5.206305133202419181e-06 5.251288450567553841e-06
1.001001001001000992e-02 2.215503957226179886e-06 -3.979087841681591307e-06 5.842288350113836400e-06 -7.562562648319146186e-06 9.198753351202855708e-06 -1.044050560154753196e-05 1.053039617326888086e-05
2.002002002002001985e-02 3.339542585724028687e-06 -5.997155206564088661e-06 8.804353396086442960e-06 -1.139576981335643050e-05 1.386022952034605724e-05 -1.573023186982548788e-05 1.586487191523432426e-05
3.003003003003002977e-02 4.483073599930625736e-06 -8.049348597646148234e-06 1.181536142846354623e-05 -1.529106526774852505e-05 1.859594127052905351e-05 -2.110299209249888707e-05 2.128213437312706340e-05
4.004004004004003969e-02 5.652593725233621739e-06 -1.014702635944902319e-05 1.489158167303386329e-05 -1.926906525467898779e-05 2.343051526394250664e-05 -2.658630968838062811e-05 2.680960766295057085e-05
5.005005005005004615e-02 6.854658602462988377e-06 -1.230163924902916468e-05 1.804940182845721293e-05 -2.335052104412713031e-05 2.838872414026774848e-05 -3.220785667165469425e-05 3.247485250922284349e-05
6.006006006006005954e-02 8.095917212204736368e-06 -1.452478887877221785e-05 2.130540954096115842e-05 -2.755641979417714057e-05 3.349560462302843267e-05 -3.799558342734532621e-05 3.830569382459285139e-05
7.007007007007007293e-02 9.383145799566531856e-06 -1.682828519578833364e-05 2.467647238635500376e-05 -3.190808340332114190e-05 3.877657311123476223e-05 -4.397784557047620284e-05 4.433034530255710031e-05
8.008008008008007939e-02 1.072328147344036938e-05 -1.922420328589092244e-05 2.817981675163974562e-05 -3.642726582997863032e-05 4.425753930493957347e-05 -5.018352848356518185e-05 5.057753160167624020e-05
9.009009009009008584e-02 1.212345564469029001e-05 -2.172493977326343773e-05 3.183310598429237194e-05 -4.113624932481217998e-05 4.996501837678670550e-05 -5.664217008635708504e-05 5.707660865918821598e-05
1.001001001001000923e-01 1.359102745909768975e-05 -2.434326907172482522e-05 3.565451815539101799e-05 -4.605793999355355854e-05 5.592624216829591397e-05 -6.338408235442906402e-05 6.385768263479509423e-05
1.101101101101101126e-01 1.513361737322695873e-05 -2.709239972983205674e-05 3.966282376290110708e-05 -5.121596308269121643e-05 6.216926985917323645e-05 -7.044047206915863516e-05 7.095172795132484878e-05
1.201201201201201191e-01 1.675914101454221977e-05 -2.998603109976038145e-05 4.387746368345653986e-05 -5.663475835725964596e-05 6.872309853007149780e-05 -7.784356125021075557e-05 7.839070486762516428e-05
1.301301301301301394e-01 1.847584346103135398e-05 -3.303841054884167213e-05 4.831862766465680855e-05 -6.233967591887917673e-05 7.561777401368333801e-05 -8.562670769287658676e-05 8.620767699014749070e-05
1.401401401401401459e-01 2.029233407020253300e-05 -3.626439142269493297e-05 5.300733363508718424e-05 -6.835707279291286119e-05 8.288450240558009813e-05 -9.382452600602000589e-05 9.443692910296195360e-05
1.501501501501501523e-01 2.221762198254328017e-05 -3.967949195993535847e-05 5.796550809579685928e-05 -7.471441059593677051e-05 9.055576258459057022e-05 -1.024730095218060388e-04 1.031140856711648804e-04
1.601601601601601588e-01 2.426115242031011453e-05 -4.329995535039345324e-05 6.321606784469143900e-05 -8.144035457848193863e-05 9.866542007252794187e-05 -1.116096534255697640e-04 1.122762303495774460e-04
